model,feature,importance,time_version
Gradient Boosting,time,0.5958885026893458,with_time
Gradient Boosting,serum_creatinine,0.12407777369688552,with_time
Gradient Boosting,ejection_fraction,0.10744057600660259,with_time
Gradient Boosting,platelets,0.059992060596523136,with_time
Gradient Boosting,creatinine_phosphokinase,0.049545023273608886,with_time
Gradient Boosting,serum_sodium,0.03338536860419731,with_time
Gradient Boosting,age,0.023078728600784644,with_time
Gradient Boosting,sex,0.002645313120313735,with_time
Gradient Boosting,smoking,0.0019027160076595813,with_time
Gradient Boosting,anaemia,0.0007880420154108753,with_time
Gradient Boosting,diabetes,0.0007705211693482224,with_time
Gradient Boosting,high_blood_pressure,0.00048537421931957715,with_time
