feature,coefficient,absolute_coefficient,time_version
time,-1.5459297603908713,1.5459297603908713,with_time
ejection_fraction,-0.9505866543709873,0.9505866543709873,with_time
serum_creatinine,0.8790125096122136,0.8790125096122136,with_time
diabetes,0.49083898475884497,0.49083898475884497,with_time
age,0.4201378644005602,0.4201378644005602,with_time
sex,-0.2978957398594021,0.2978957398594021,with_time
creatinine_phosphokinase,0.29674500071979504,0.29674500071979504,with_time
anaemia,0.232619597495486,0.232619597495486,with_time
platelets,-0.1457441606916252,0.1457441606916252,with_time
serum_sodium,-0.12172550691441986,0.12172550691441986,with_time
smoking,0.11680181736652535,0.11680181736652535,with_time
high_blood_pressure,-0.03626697374781582,0.03626697374781582,with_time
