feature,permutation_importance_mean,permutation_importance_std,time_version
time,0.2044073598630723,0.045782815193767236,with time
serum_creatinine,0.0680359435173299,0.036926470269299204,with time
ejection_fraction,0.04107830551989729,0.02792250101609785,with time
age,0.027556696619597743,0.012018098241572307,with time
serum_sodium,0.008814719726144567,0.00651812546831993,with time
creatinine_phosphokinase,0.0068035943517329445,0.005855966484188471,with time
sex,0.003765511339323883,0.0023654728217518757,with time
anaemia,0.001797175866495467,0.001892455660033881,with time
diabetes,-0.0005562687205819612,0.004317541357375728,with time
high_blood_pressure,-0.0016260162601626623,0.0025009224127004706,with time
platelets,-0.0020539152759948996,0.006625667728145799,with time
smoking,-0.0025246041934104476,0.002185638474817665,with time
