feature,permutation_importance_mean,permutation_importance_std,time_version
serum_creatinine,0.09580658964484384,0.05651327926721852,without time
age,0.08125802310654685,0.020461851753904144,without time
ejection_fraction,0.07389816003423194,0.039653127288871756,without time
serum_sodium,0.019169875909285435,0.013307315417667923,without time
creatinine_phosphokinase,0.015661103979460855,0.011207687334118517,without time
sex,0.007830551989730431,0.004236200256739413,without time
high_blood_pressure,0.0035943517329910264,0.007553841804914788,without time
platelets,-0.0014120667522464696,0.010287479046652033,without time
diabetes,-0.0029525032092426223,0.0045100231486514515,without time
anaemia,-0.0032520325203252098,0.007764215556389613,without time
smoking,-0.0056910569105691,0.003945266053696033,without time
