model,metric,with_time,without_time,difference_with_minus_without
Logistic Regression,accuracy,0.8,0.7,0.10000000000000009
Logistic Regression,precision,0.7333333333333333,0.5263157894736842,0.2070175438596491
Logistic Regression,recall,0.5789473684210527,0.5263157894736842,0.052631578947368474
Logistic Regression,f1,0.6470588235294118,0.5263157894736842,0.12074303405572762
Logistic Regression,roc_auc,0.8575096277278563,0.7406931964056482,0.11681643132220809
Decision Tree,accuracy,0.7833333333333333,0.7166666666666667,0.06666666666666665
Decision Tree,precision,0.6363636363636364,0.5384615384615384,0.09790209790209792
Decision Tree,recall,0.7368421052631579,0.7368421052631579,0.0
Decision Tree,f1,0.6829268292682927,0.6222222222222222,0.0607046070460705
Decision Tree,roc_auc,0.7779204107830552,0.7439024390243901,0.034017971758665055
Random Forest,accuracy,0.8333333333333334,0.7333333333333333,0.10000000000000009
Random Forest,precision,0.8461538461538461,0.6153846153846154,0.23076923076923073
Random Forest,recall,0.5789473684210527,0.4210526315789473,0.15789473684210537
Random Forest,f1,0.6875,0.5,0.1875
Random Forest,roc_auc,0.8992297817715019,0.7965340179717587,0.10269576379974321
Gradient Boosting,accuracy,0.8333333333333334,0.7,0.13333333333333341
Gradient Boosting,precision,0.8,0.5384615384615384,0.2615384615384616
Gradient Boosting,recall,0.631578947368421,0.3684210526315789,0.2631578947368421
Gradient Boosting,f1,0.7058823529411765,0.4375,0.2683823529411765
Gradient Boosting,roc_auc,0.8677792041078304,0.766367137355584,0.10141206675224634
